Identificativo;Tipologia;Essenza;Disposizione;Posizione;Portamento;EssenzaStorica;DataCensimento;AltezzaPrimoPalco;RangeAltezza;RangeDiametroFusto;Suolo;StatoVegetativo;QualitaBiomeccanica;ClassificazioneCedimento;Interferenze;TipoFoglia;CoordX;CoordY
3116;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471208.59574;4973349.35375
3117;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471201.18699;4973356.9717
3118;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471193.77824;4973364.58964
3119;Ceppaia;Fraxinus Excelsior;Filare;Aiuola;;No;2020-08-01;;;1) <= 20cm;Idoneo;;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471182.35802;4973375.68075
3120;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471175.27282;4973381.31951
3121;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2023-07-27;2;1) < 10m;1) <= 20cm;Idoneo;Discreto;Buono;B;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1471168.18762;4973386.95827
3122;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471161.10242;4973392.59703
3123;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471154.01721;4973398.23578
3124;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471146.93201;4973403.87454
3125;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471139.84681;4973409.5133
3126;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471132.76161;4973415.15206
3127;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2023-07-27;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;B;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471121.66768;4973424.93834
3128;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471116.12071;4973431.13632
3129;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Palo Tutore;";Caduca;1471216.94498;4973378.29042
3130;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Palo Tutore;";Caduca;1471224.02144;4973370.99149
3131;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Palo Tutore;";Caduca;1471231.0979;4973363.69256
3132;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Palo Tutore;";Caduca;1471238.17436;4973356.39363
3133;Albero;Fraxinus Excelsior;Filare;Aiuola;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Palo Tutore;";Caduca;1471245.25083;4973349.0947
3134;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471252.32729;4973341.79576
3135;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471259.40375;4973334.49683
3136;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471266.48021;4973327.1979
3137;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471273.55667;4973319.89897
3138;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471280.63313;4973312.60004
3139;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471287.70959;4973305.30111
3140;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1471294.78605;4973298.00218
3141;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471301.86251;4973290.70325
3142;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471308.93898;4973283.40431
3143;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1471316.01544;4973276.10538
3144;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471323.0919;4973268.80645
3145;Albero;Fraxinus Excelsior;Filare;Prato margine strada;;No;2008-01-07;2;1) < 10m;1) <= 20cm;Idoneo;Buono;Buono;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Palo Tutore;";Caduca;1471330.16836;4973261.50752
3558;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469190.68546;4973026.76248
3559;Ceppaia;Tilia X Americana;Filare;Buco nell'asfalto;;No;2023-05-30;;;2) 20cm< & <=50cm;Ricoperto;;;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1469195.90465;4973025.32568
3560;Fallanza;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;;;;Ricoperto;;;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1469201.12384;4973023.88887
3561;Albero;Tilia X Americana;Filare;Buco nell'asfalto;;No;2023-05-30;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469206.34303;4973022.45207
3562;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Vicinanza Albero;";Caduca;1469211.56223;4973021.01527
3564;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;2.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Panchina; Vicinanza Albero;";Caduca;1469222.00061;4973018.14166
3565;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;2.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469227.2198;4973016.70486
3567;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Mediocre;Buono;C;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469237.65818;4973013.83125
3568;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;B;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469242.87737;4973012.39445
3166;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470943.13856;4973570.21594
3167;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470937.23105;4973574.85757
3168;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470931.32353;4973579.49921
3169;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470925.41601;4973584.14084
3170;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470919.50849;4973588.78247
3171;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470913.60097;4973593.4241
3172;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470907.69345;4973598.06573
3173;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Racchiuso in Manufatto;";Caduca;1470901.03709;4973603.55583
3174;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Racchiuso in Manufatto;";Caduca;1470890.05409;4973611.87416
3175;Ceppaia;;Filare;Tornello con cordolo;;No;2008-01-08;;;2) 20cm< & <=50cm;Ricoperto;;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Racchiuso in Manufatto;";;1470884.17857;4973616.48124
3176;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Racchiuso in Manufatto;";Caduca;1470878.30306;4973621.08832
3177;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470872.42754;4973625.69539
3178;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470866.55202;4973630.30247
3179;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470860.67651;4973634.90955
3180;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470854.80099;4973639.51663
3181;Ceppaia;;Filare;Tornello con cordolo;;No;2008-01-08;;;2) 20cm< & <=50cm;Ricoperto;;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";;1470848.92547;4973644.1237
3182;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470843.04995;4973648.73078
3183;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;1) < 10m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470837.17444;4973653.33786
3184;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470831.29892;4973657.94494
3185;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470825.4234;4973662.55201
3186;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470819.54789;4973667.15909
3187;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470813.67237;4973671.76617
3188;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470829.1484;4973699.71578
3189;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470834.67318;4973695.45679
3190;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470840.19796;4973691.1978
3191;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470845.72274;4973686.93882
3192;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470851.24752;4973682.67983
3193;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470856.7723;4973678.42084
3194;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470865.92479;4973670.43524
3195;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470872.41474;4973665.36105
3196;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470878.90469;4973660.28687
3197;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470885.39464;4973655.21269
3198;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470891.88459;4973650.1385
3199;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470898.37454;4973645.06431
3200;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1470904.86449;4973639.99013
3201;Albero;Fraxinus Excelsior;Filare;Tornello con cordolo;;No;2008-01-08;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Racchiuso in Manufatto;";Caduca;1470925.3328;4973621.6898
3569;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469248.09657;4973010.95765
3570;Albero;Tilia X Americana;Filare;Buco nell'asfalto;;No;2023-05-30;6;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469253.31576;4973009.52084
3571;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1469258.53495;4973008.08404
3573;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469268.97333;4973005.21043
3575;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469279.41171;4973002.33683
3576;Albero;Tilia X Americana;Filare;Tornello;;No;2023-05-30;4;1) < 10m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;B;"Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469282.21373;4973001.56692
3579;Albero;Ginkgo Biloba;Filare;Tornello;;No;2023-05-30;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469292.12012;4972998.25686
3580;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469299.67313;4972996.56998
3581;Albero;Tilia X Americana;Filare;Tornello;;No;2023-05-30;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469315.65861;4972992.1582
3582;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;B;"Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469320.9837;4972990.82727
3583;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-05-30;2;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469342.02612;4972984.5082
3584;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-05-30;2.5;2) 10 - 16m;2) 20cm< & <=50cm;Costipato;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee; Parcheggio; Vialetto Pedonale; Panchina; Vicinanza Albero;";Caduca;1469347.35121;4972982.95545
3585;Albero;Tilia X Americana;Filare;Aiuola;;No;2023-05-30;3.5;1) < 10m;2) 20cm< & <=50cm;Costipato;Buono;Buono;B;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee; Vicinanza Albero;";Caduca;1469352.84299;4972981.31933
3586;Albero;Tilia X Americana;Filare;Buco nell'asfalto;;No;2023-05-30;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Costipato;Buono;Mediocre;C;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee; Manufatto; Semaforo; Vicinanza Albero;";Caduca;1469358.66818;4972979.84994
3146;Albero;Fraxinus Excelsior;Filare;Buco nell'asfalto;;No;2008-01-08;3;1) < 10m;2) 20cm< & <=50cm;Ricoperto;Buono;;;"Cartellonistica; Pista Ciclabile; Sede Stradale; Marciapiede; Utenze Sotterranee; Edifici; Racchiuso in Manufatto;";Caduca;1471074.93448;4973465.13873
